Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
,United Airlines,Economy Class,November 2017,26th November 2017,0,1,1,UnitedStates,1.0,no,,Los Angeles to Seattle,1,1,united-airlines,not be flying United again,Couple Leisure,Not Verified,1,0,5d05c354-aa1b-461e-ab69-f48e88dd300f
,United Airlines,Economy Class,November 2017,26th November 2017,3,1,1,UnitedStates,1.0,no,"Mumbai to Charlotte via Newark. United Airlines is the worst airline I have traveled, allowing only 1 checked in baggage on an international flight. One of my checked in bag came with the zipper hooks & the TSA lock missing. When I called to report this, they directed me to contact the Charlotte Airport United Airlines Baggage Counter desk that was supposed to be open from 8 AM to 12 Midnight. There was nobody there & after waiting for over 15 minutes, I went to the United counter who paged the baggage guy. This person came to the counter & was extremely rude to me. He refused to compensate for the damages. I do not intend to travel United Airlines ever again.",Mumbai to Charlotte via Newark,1,2,united-airlines,allowing only 1 checked baggage,Family Leisure,Trip Verified,1,1,a931c39b-a730-4a0d-97dd-808969ca086c
,United Airlines,Economy Class,November 2017,26th November 2017,0,1,1,UnitedStates,1.0,no,,Los Angeles to Seattle,1,1,united-airlines,Very rude and unprofessional,Couple Leisure,Not Verified,1,0,e60fdde1-173d-492c-b1a3-8e6081813793
,United Airlines,Economy Class,November 2017,25th November 2017,0,0,1,UnitedStates,1.0,no,"Des Moines to Chicago. Absolutely the worst airline and customer service I've ever had. I fly at least 4 to 6 times a year, and I will never fly United ever again. I'd rather walk. They're uncaring, difficult to work with, inflexible, and just horrible to the people who pay for their services.",Des Moines to Chicago,2,2,united-airlines,worst airline and customer service,Business,Trip Verified,1,0,15362ad4-69c1-4aab-9844-a17ccbb5a02a
,United Airlines,Economy Class,November 2017,25th November 2017,0,0,1,UnitedStates,2.0,no,"Pittsburgh to Greensboro via Dulles and Newark. I booked reservations as a small group going to a women's conference November 8-12, 2017. Upon arrival to the counter we were informed that we would need to pay for our luggage. This would not have been an issue but I checked with an United airline agent on two separate contacts days prior to our departure. Our initial flight was accommodating as we had a handicapped person with us but upon arrival to Dulles our airport agent was very unfriendly and of no assistance to a ticketing issue. I additionally was dissatisfied with our airport agent at Greensboro who seemed to be unsympathetic and not bothered to our delay due to mechanical difficulties. There was no concern to whether we might miss our connecting flight to Pittsburgh. Overall I had a less than pleasant experience with United Airlines.",Pittsburgh to Greensboro via Dulles and Newark,2,2,united-airlines,a less than pleasant experience,Family Leisure,Trip Verified,2,0,90b3fd1a-fbbb-45f9-b556-4dd42e34bf87
,United Airlines,Economy Class,November 2017,24th November 2017,0,0,1,UnitedStates,1.0,no,,Pittsburgh to New Orleans via Chicago,2,4,united-airlines,Really bad experience,Solo Leisure,Not Verified,1,0,099d430b-fb6f-43f8-8059-a6c51810edcf
,United Airlines,Economy Class,November 2017,23rd November 2017,1,1,1,UnitedStates,1.0,no,"Flew Chicago to San Francisco. Literally the worst. Why do they offer cheaper flights if they go out of their way to punish you. They make strenuous concerted efforts to make your life difficult. There were 12 window and aisle seats available and I asked for one. ""No. With your kind of ticket you get what you get."" Made us low life ""discount"" ticket purchasers wait while 30 people on stand by got called up individually, got their ticket, and boarded in front of us with their aisle and window seats. Absolutely pointless. They really go out of their way. If they want to exhibit vein-popping fury when you got a meager $20 discount for the basic economy ticket that was $500 then they should stop offering such services and just let themselves get beat out by better options.",Chicago to San Francisco,1,1,united-airlines,go out of their way to punish you,Solo Leisure,Trip Verified,1,1,df933834-c455-48e3-a199-7fdfddd3b02c
,United Airlines,Economy Class,November 2017,23rd November 2017,0,1,1,UnitedStates,1.0,no,Las Vegas to Newark. Do not fly United Airlines. They don’t allow any free carry-on of any type anymore. I had a tiny carry-on bag with a pair of jeans and a shirt and they told me I had to check it with a charge of $50. The attendants are rude and there is no seat selection. My flight was over an hour late so my ride had to wait an extra hour. Everything was done wrong. I’ve never complained about a flight before but this is my first United Airlines and definitely my last.,Las Vegas to Newark,1,1,united-airlines,Do not fly United Airlines,Solo Leisure,Trip Verified,1,0,497a3da8-8140-4faa-a52e-340efb5b45cc
,United Airlines,Economy Class,November 2017,22nd November 2017,0,0,1,UnitedStates,1.0,no,Newark to Ahmedabad return via Mumbai to travel later in November. The most garbage airline. They don't have moral and ethics. They have issued me a ticket worth $2400 for 4 passengers (3 adults and 1 infant). Some kind of problem with the payment processing system. After 4 days they wanted to charge me $3870 for the same ticket. They don't want to honor their own system.,Newark to Ahmedabad via Mumbai,0,0,united-airlines,don't have moral and ethics,Family Leisure,Trip Verified,1,0,a4481883-ee8b-4fab-9dcf-769924b9bdda
,United Airlines,Economy Class,November 2017,22nd November 2017,0,4,4,UnitedStates,8.0,yes,"Raleigh/Durham to Newark. We had a delay, due to winds. The flight attendant was extremely courteous and made up for the delay - excellent customer service! The flight was smooth. Again, I would like to thank the flight attendants for the courteous service they delivered to me!",Raleigh/Durham to Newark,4,5,united-airlines,like to thank the flight attendants,Solo Leisure,Trip Verified,4,0,632449c0-d552-463e-b25b-98d70062d34b
