Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
DHC Twin otter,Winair,Economy Class,September 2019,22nd November 2019,0,0,3,Brazil,7.0,yes,"I had 4 flights with this airline and found them to be very reliable, st Maarten to Statia and St Maarten to Saba and back, planes are very small but perfect for these 15 minutes hop. ground crew were friendly and even tagged my bags to Antigua on a codeshare with LIAT, I was surprised, they all arrived without major problems, they are quick and professional, sometimes slow sometimes not. The prices are very high though. The only worriesome moment I had with them was when one of the pilots shouted agressivily at the other just before engine started.",St Maarten to Saba,2,2,winair,found them to be very reliable,Solo Leisure,Trip Verified,2,0,fb17d87c-33a1-48fd-9399-01573a62a4d2
Boeing 737 800,Wingo,Economy Class,February 2023,4th February 2023,0,1,1,Italy,2.0,no,"Never fly with them! The check in process is slow, the boarding is a repetition of the check in (they ask the same documents two times) the food un the plane is horrible. The seat with more space have the same space of the standard seat.",Bogota to Lima,2,2,wingo,"Never fly with them"" ",Couple Leisure,Trip Verified,1,0,e8a01566-cbf9-43f4-9b0f-6f9d35cfc8e9
ATR-72,Wings Air,Economy Class,September 2019,25th September 2019,0,0,1,Netherlands,1.0,no,"Lombok to Labuan Bajo. Checked baggage cannot be paid online with mastercard. If you are lucky to have time to buy extra baggage in Asia you safe some money. If not, buy a ticket from another airline, that's cheaper. Lion air never responded on emails or webforms. Before take off and landing the crew didn't check passengers seatbelts or seat upright.  Nothing was served during a 1hr 15min flight, compared to NAM Air on a shorter flight, they gave even a small lunch. The plane also looked a bit old, both inside and out.",Lombok to Labuan Bajo,3,1,wings-air,cannot be paid online with mastercard,Family Leisure,Trip Verified,1,0,92c03cdc-6466-4c3d-b5f3-f4268d4931dc
ATR,Wings Air,Economy Class,August 2019,7th August 2019,1,1,1,Indonesia,2.0,no,"I'd booked a flight from Surabaya to Bandung on August 8th 2019, but because of a sudden meeting schedule required me to reschedule my flight on August 06th 2019. I paid 663k Rupiahs for the rescheduling administration, but I got my flight delayed for 2 hours without any proper announcements just from the display on the airport. And the airline gave the passengers the compensation (rice, noodle, spicy beef) after I asked about it. If I don't have a meeting required me to attend early in the morning, I would have bought the tickets from another flight providers.",Surabaya to Bandung,2,2,wings-air,flight delayed for 2 hours,Business,Not Verified,1,1,34216181-cada-47ee-94dc-7c5acef1870f
Boeing 737,Wingo,Economy Class,April 2021,30th May 2021,1,1,1,UnitedStates,2.0,no,"Do not fly this airline unless you absolutely have to. On a positive note, the plane was fairly comfortable. If you have a problem with your flight, you will not be able to resolve it and you will just lose money and be angry like I am. There are a million problems with the website and customer service is completely non existent at this company. Try calling their US number before you decide if fly if you're an American citizen, it just hangs up on me right away. The Wingo desk at Bogota airport is also very poorly trained and unfamiliar with many rules. As you know, there are always small issue that arise when flying, and it's too risky to fly Wingo.",Bogota to Cancun,1,1,wingo,customer service is completely non existent,Solo Leisure,Not Verified,1,1,a68cbe2c-63a6-41cc-ab82-b229fe24eb47
Boeing 737-800,Wingo,Economy Class,December 2019,16th February 2020,0,4,4,Colombia,9.0,yes,"Bogota to Havana. Since the beginning of my trip planning, Wingo offered excellent service. First of all, it was very easy to book, and as a low-cost airline where you know they will search many ways to make some extra money, they were very clear all the time with what you were able to do if you didn't want to pay more than the plane ticket. Ground service offered the Cuban visa before taking off. I found this a very good quota of service. The flight day I was surprised for them to be so punctual. We started the itinerary on time, arriving at Havana's airport earlier than expected. The seats were really comfortable considering that it is a low-cost airline, comfy legroom plus good in-flight service. They offer a menu with many options to eat in flight, and I consider they have really good prices, and they can get cheaper if you can pay in Colombian Peso due to the exchange tax. If you want to have more extra space in the seat you can pay $20 in-flight or COP 60.000. I recommend Wingo if you don't have a really big budget and if you don't care about having entertainment for international flights.",Bogota to Havana,3,5,wingo,offered excellent service,Solo Leisure,Trip Verified,5,0,d5d44606-3049-4a72-9b66-f9463bdbe66d
Boeing 737-700,Wingo,Economy Class,January 2019,7th February 2019,0,2,4,Venezuela,7.0,yes,"Caracas to Bogota. A simple flight without surprises, comfortable seats, although they are not reclining, good attention, on the flight the only complementary beverage is water, cheap tickets prices, the plane clean and simple. Wingo is a good option for a short trip. The Boeing 737-700 makes the flight pleasant",Caracas to Bogota,3,4,wingo,Wingo is a good option,Family Leisure,Trip Verified,5,0,5c94ba03-c0c4-4c28-8681-9a80f636298a
Dash,Wideroe,Economy Class,March 2022,19th March 2022,0,0,1,UnitedKingdom,1.0,no,Possibly the worst airline I have had the misfortune to use. Delayed over 12 hours on outbound journey. No ground staff to greet us and walked aimlessly around an airport asking for help. Had to take 3 flights the following day to get to our destination. Customer service is zero! Will never use this airline again.,Tromso to London via Bergen,1,4,wideroe,Customer service is zero!,Couple Leisure,Trip Verified,1,0,c070bf90-9fc7-40b7-949e-8a6310cb0552
E190,Wideroe,Economy Class,December 2018,13th December 2018,0,0,3,Indonesia,1.0,no,"Completely disappointing experience! Our flight WF 623 was due to depart on 10.30 am from Tromso and to reach Bergen on 12.30pm. But the flight got delayed for 45 minutes to depart on 11.15 am. At 10.45, the aircraft arrived and we were informed the boarding would proceed as soon as possible. But a staff announced there would be further delay around 30 minutes at least due to technical problem. I saw several staff or engineering crew did something on the plane right engine. Later on, we were informed the flight will be delayed (again!) until further notice. Finally we got called to board on 12.30 pm (seemed like a good news, right?). As the plane was approaching the runway, the pilot announced the aircraft needed to return to base and unable to fly. We were diverted to flight on 17.00 and thank you Wideroe for your excellent service and top notch aircraft we could finally spend our another beautiful day at the beautiful Tromso airport for 6 hours and wasted our Bergen day. And hey, thanks for the free meal coupon! Props to Wideroe! My suggestion: buy a Boeing or Airbus, ok? Not an Embraer",Tromso to Bergen,3,3,wideroe,Completely disappointing experience,Couple Leisure,Trip Verified,1,0,f9755205-dc06-422f-8df6-82411c1a6e2b
Boeing 787-9,Xiamen Airlines,Business Class,June 2020,1st October 2020,0,0,2,UnitedStates,8.0,yes,"It was overall a pleasant flight. The flight attendant is very familiar with the policies and helpful with the required custom forms under the pandemic. There is no hot food due to the pandemic, but it is totally understandable. I would recommend everyone get food from the airport or city before the get on board. Everyone is nice to the passengers in general, but the cabin manager is mean to her peer. I don't agree with that way of management. At least they should avoid making passengers feel that way.",Amsterdam to Xiamen,4,4,xiamen-airlines,overall a pleasant flight,Business,Trip Verified,2,0,18bb6f37-04b3-4334-8a5c-1f1edbeefc14
Boeing 787-9,Xiamen Airlines,Economy Class,January 2020,7th January 2020,4,4,5,Australia,9.0,yes,"Bangkok to Los Angeles via Xiamen return. Everything was great, check-in at Suvarnabhumi Airport was smooth and the flight from Bangkok to Xiamen was on-time and they served a tasty meal. We noticed how friendly the cabin crew were r. Only downside about the 737 from Bangkok is that there's no personal tv screen. At Xiamen Airport for our 18-hour layover, immigration process was smooth, we were eligible for a free transit visa. We received a free accommodation voucher by Xiamen Air. The hotel we were given was the airline's own Xiamen Air Hotel in the heart of Xiamen. The room had two double beds and included a Chinese buffet breakfast too. Xiamen to Los Angeles on Boeing 787-9 was better. Great on-board entertainment, with plenty of Hollywood movies to choose from. We were served 3 meals and a snack on the 12-hour journey to LAX. I applied for their free wifi in advance (only 50 spots per flight), which worked well. You only get 3-hours but it was free. One thing that surprised me was the English proficiency of their crew. An added bonus was the opportunity to visit the lovely Chinese coastal city of Xiamen.  The price we paid for our return journey from BKK to LAX was almost half the price of a return ticket from BKK to SYD at the time of our departure. Outstanding value for money.",Bangkok to Los Angeles via Xiamen,5,5,xiamen-airlines, Outstanding value for money,Family Leisure,Trip Verified,5,4,60571307-7831-4f2b-9194-41581a685c7d
Boeing 737-800,Xiamen Airlines,Economy Class,January 2020,7th January 2020,1,2,3,China,6.0,no,"Dalian to Bangkok via Fuzhou. A very strange flight, both International and domestic passengers to Fuzhou, you then vacate the plane rush through immigration and then get back on the same plane with new customers from Fuzhou going to Bangkok. The return is the same, apart from at Dalian you are bused to the terminal in two separate buses, one for people from Bangkok the other for new passengers from Fuzhou. Bags come out in different sections of Dalian airport. It very confusing and only one hour on ground in Fuzhou, makes it a rush job. Seating average, food average, actually everything average.",Dalian to Bangkok via Fuzhou,2,4,xiamen-airlines,everything average,Family Leisure,Trip Verified,3,0,bce11a93-7c18-4df4-8d81-05034dbfa989
Boeing 787,Xiamen Airlines,Economy Class,December 2019,31st December 2019,2,4,3,Netherlands,9.0,yes,"Xiamen to Amsterdam. The flight attendants are kind, willing to assist with cabin luggage. The English they speak is okay. The seats are comfortable and stuff like long socks, blankets, earphones and pillows are offered. Most of the time, I fly solo with Xiamen Airlines, but this June when I flew with my partner (German nationality), they offered great help both by email and at the airport for my partner's 144 hours transit visa free, The food and beverages onboard is good for breakfast and dinner they have at least two options between Chinese and Western food. The dishes taste good and the portion is  big.  During late night, they offer sandwiches and hand out some warm towels or tea. Before landing, breakfast is offered. The content of movies is a bit limiting for Hollywood movies, but there's a big collection of Chinese/Japanese and Korean series and films.",Xiamen to Amsterdam,3,4,xiamen-airlines,The seats are comfortable,Couple Leisure,Trip Verified,4,4,b348901f-f42f-47cc-82b0-378d8944435d
